Student Group,Year,Students Total,Students Disciplined, Percent of Students Disciplined
All Students,2021-22,943549,39676,4.204975046
English Learner,2021-22,118549,5316,4.484221714
Low income,2021-22,439944,29502,6.705853472
Students w/disabilities,2021-22,190831,14444,7.569000844
High needs,2021-22,549082,33359,6.075413144
Female,2021-22,456510,13218,2.895445883
Male,2021-22,485692,26408,5.437190648
Amer. Ind. or Alaska Nat.,2021-22,2203,134,6.082614616
Asian,2021-22,68503,727,1.06126739
Afr. Amer./Black,2021-22,88818,6794,7.649350357
Hispanic/Latino,2021-22,225542,14075,6.240522829
"Multi-race, Non-Hisp./Lat.",2021-22,40490,1920,4.741911583
Nat. Haw. or Pacif. Isl.,2021-22,831,41,4.933814681
White,2021-22,517162,15985,3.090907685
All Students,2022-23,942880,33062,3.506490752
English Learner,2022-23,126768,4653,3.670484665
Low Income,2022-23,426807,24442,5.726710199
Students w/disabilities,2022-23,195905,12479,6.369924198
High needs,2022-23,544522,27937,5.130554872
Female,2022-23,455336,11203,2.460380906
Male,2022-23,485746,21785,4.484854224
Amer. Ind. or Alaska Nat.,2022-23,2258,110,4.871567759
Asian,2022-23,69313,612,0.88295125
Afr. Amer./Black,2022-23,89961,5798,6.445015062
Hispanic/Latino,2022-23,234592,12330,5.255933706
"Multi-race, Non-Hisp./Lat.",2022-23,41397,1673,4.041355654
Nat. Haw. or Pacif. Isl.,2022-23,830,33,3.975903614
White,2022-23,504529,12506,2.478747505
All Students,2023-24,945909,32615,3.448006098
English Learner,2023-24,138916,5185,3.732471422
Low Income,2023-24,436040,24567,5.634116136
Students w/disabilities,2023-24,202635,12546,6.191427937
High needs,2023-24,555478,27882,5.019460717
Female,2023-24,457073,10950,2.39567859
Male,2023-24,487000,21600,4.435318275
Amer. Ind. or Alaska Nat.,2023-24,2282,106,4.645048203
Asian,2023-24,70088,596,0.850359548
Afr. Amer./Black,2023-24,94661,5808,6.135578538
Hispanic/Latino,2023-24,244110,12678,5.19356028
"Multi-race, Non-Hisp./Lat.",2023-24,42418,1640,3.866283182
Nat. Haw. or Pacif. Isl.,2023-24,835,30,3.592814371
White,2023-24,491515,11757,2.391992106
